Abbasid Caliphate,ar-XA-Standard-C,Abbasid Caliphate/Arabia
Afghanistan,pa-IN-Standard-B,Afghanistan
Albania,he-IL-Standard-A,Albania
Algeria,ar-XA-Standard-A,Algeria
Ancient Egypt,ar-XA-Standard-D,Ancient Egypt
Angola,pt-PT-Standard-C,Angola
Antarctica,en-AU-Standard-C,Antarctica
Argentina,es-ES-Standard-D,Argentina
Armenia,he-IL-Standard-A,Armenia
Australia,en-AU-Standard-D,Australia
Austria,de-DE-Standard-B,Austria
Austria-Hungary,de-DE-Standard-B,Austria-Hungary/Austro-Hungary
Azerbaijan,tr-TR-Standard-D,Azerbaijan
Bahamas,en-GB-Standard-B,Bahamas
Bahrain,ar-XA-Standard-B,Bahrain
Bangladesh,bn-IN-Standard-B,Bangladesh
Belarus,ru-RU-Standard-E,Belarus
Belgium,nl-BE-Standard-B,Belgium
Belize,en-US-Standard-B,Belize
Benin,fr-FR-Standard-C,Benin
Bermuda,en-GB-Standard-D,Bermuda
Bhutan,hi-IN-Standard-B,Bhutan
Bolivia,es-US-Standard-A,Bolivia
Bosnia & Herzegovina,tr-TR-Standard-E,Bosnia & Herzegovina/Bosnia and Herzegovina
Botswana,en-GB-Standard-F,Botswana
Bouvet Island,en-GB-Standard-B,Bouvet Island
Brazil,pt-BR-Standard-B,Brazil
Brunei,ms-MY-Standard-B,Brunei
Bulgaria,bg-BG-Standard-A,Bulgaria
Burkina Faso,fr-FR-Standard-B,Burkina Faso
Burundi,fr-FR-Standard-C,Burundi
Byzantine Empire,it-IT-Standard-D,Byzantine Empire
Cambodia,vi-VN-Standard-B,Cambodia
Cameroon,fr-FR-Standard-C,Cameroon
Canada,en-US-Standard-A,Canada
Canary Islands,es-ES-Standard-C,Canary Islands
Cape Verde,pt-PT-Standard-C,Cape Verde
Central African Republic,fr-FR-Standard-B,Central African Republic/CAR
Chad,ar-XA-Standard-C,Chad
Chile,es-ES-Standard-C,Chile
China,cmn-CN-Standard-B,China
Colombia,es-US-Standard-A,Colombia
Comoros,ar-XA-Standard-C,Comoros
Confederate States,en-US-Standard-B,Confederate States/Confederacy/CSA
Brazzaville Congo,fr-FR-Standard-C,Brazzaville Congo/Brazzaville/Republic of Congo
Kinshasa Congo,fr-FR-Standard-D,Kinshasa Congo/Kinshasa/Democratic Republic of Congo/DR Congo/DRC/Congo
Costa Rica,es-US-Standard-B,Costa Rica
Croatia,sr-RS-Standard-A,Croatia
Cuba,es-ES-Standard-A,Cuba
Cyprus,he-IL-Standard-A,Cyprus
Czechia,de-DE-Standard-D,Czechia/Czech Republic/Czechoslovakia
Côte d’Ivoire,fr-FR-Standard-B,Côte d’Ivoire/Ivory Coast
Denmark,da-DK-Standard-D,Denmark
